K,trial,t_sync,r_final,phase_variance,convergence_rate
4.0,0,1.078,0.6993967729017986,0.3006032270982014,0.034642829248579164
4.0,1,0.923,0.9843003610067479,0.015699638993252107,-1.655329321940815e-09
4.0,2,2.548,0.8722616916924514,0.12773830830754862,-0.20546604932767185
4.0,3,0.911,0.9776792539667153,0.02232074603328471,3.252995532784799e-08
4.0,4,2.94,0.7462872330181849,0.2537127669818151,0.061940683754361896
4.0,5,1.796,0.6975544408003715,0.30244555919962846,-0.007184599894167532
4.0,6,1.095,0.95184673904213,0.04815326095786998,0.028436834320916694
4.0,7,,0.5737338970924375,0.4262661029075625,0.0033420552952327107
4.0,8,2.778,0.47613797143544834,0.5238620285645517,-0.01182387038841896
4.0,9,,0.6058342370586551,0.39416576294134487,0.0698922150598542
4.5,0,0.678,0.6703491416548416,0.3296508583451584,0.006543391566367894
4.5,1,0.98,0.9450471672046757,0.05495283279532426,1.904968299478527e-08
4.5,2,1.495,0.887021848169826,0.11297815183017401,-0.0039042467472229243
4.5,3,0.515,0.9826979280718313,0.017302071928168683,-4.736799325505586e-10
4.5,4,1.203,0.5292156899424103,0.4707843100575897,-0.06056054921009828
4.5,5,0.78,0.9187145257585263,0.0812854742414737,0.01435226649945769
4.5,6,4.375,0.6791342097770686,0.3208657902229314,0.02488273660692057
4.5,7,0.86,0.960437312943304,0.039562687056695967,-0.017026119852821923
4.5,8,0.902,0.8978169588417645,0.10218304115823551,-0.000371847387762262
4.5,9,0.337,0.9567023049162722,0.04329769508372783,-8.401154955645567e-10
5.0,0,8.096,0.8567874270581904,0.14321257294180956,0.00776956573705253
5.0,1,1.034,0.7939462492410113,0.20605375075898869,0.004737422722197396
5.0,2,2.965,0.5228745467721807,0.4771254532278193,-0.018987631613565783
5.0,3,0.985,0.8971449523180437,0.1028550476819563,-0.0001125573548256941
5.0,4,,0.6109280621200638,0.3890719378799362,0.013578133176574376
5.0,5,1.187,0.9703761760386772,0.029623823961322793,0.00015306281622546962
5.0,6,,0.8563328631039182,0.1436671368960818,0.009192891957241338
5.0,7,1.058,0.8205545350908944,0.17944546490910562,-0.021589117132356214
5.0,8,,0.7629090050731879,0.23709099492681207,-0.0542731256736925
5.0,9,5.562,0.862730116644562,0.137269883355438,0.0067116540934470635
5.5,0,0.399,0.9385387132879264,0.061461286712073626,2.88940569547504e-10
5.5,1,1.827,0.9508212195528923,0.04917878044710766,-0.04296277670557969
5.5,2,1.2710000000000001,0.9157901557780564,0.08420984422194355,-7.248772672387313e-08
5.5,3,0.43,0.7593280825380748,0.24067191746192518,-0.22028799369757224
5.5,4,0.7030000000000001,0.9565912273506851,0.043408772649314864,-6.623083738479655e-10
5.5,5,1.46,0.7748751437568988,0.2251248562431012,-0.03359399050062954
5.5,6,0.6,0.8118978211775704,0.18810217882242963,-0.0246210731131597
5.5,7,0.977,0.9550921407145161,0.04490785928548391,4.689077535395499e-09
5.5,8,0.531,0.91793286477009,0.08206713522991005,-2.066684256786668e-08
5.5,9,1.014,0.7747384462026614,0.2252615537973386,-0.016218981318528825
6.0,0,1.5270000000000001,0.8513757251607388,0.14862427483926122,-0.002073958357856483
6.0,1,,0.873240152297896,0.12675984770210402,-0.07358044518262485
6.0,2,0.4,0.9087266291523992,0.09127337084760079,-3.4145077255808563e-07
6.0,3,1.154,0.7875992568844762,0.21240074311552382,-0.005038954737458085
6.0,4,,0.6484345459775368,0.3515654540224632,0.002697886264926801
6.0,5,2.118,0.6039367313624809,0.39606326863751906,0.0007844121671149833
6.0,6,0.393,0.9816855000764585,0.018314499923541505,-3.028563699153558e-14
6.0,7,0.248,0.5126073290990653,0.48739267090093474,0.026509657125822705
6.0,8,1.078,0.9449293555122873,0.055070644487712705,-8.028647171720063e-10
6.0,9,1.139,0.8033331678783812,0.19666683212161884,0.009293232353784663
6.5,0,1.352,0.9333270641101433,0.06667293588985668,8.69540823241168e-08
6.5,1,0.491,0.7804982595935125,0.2195017404064875,-0.03318604058318384
6.5,2,0.638,0.9684986236413126,0.03150137635868744,-7.916223561567155e-14
6.5,3,1.471,0.8936502218246682,0.10634977817533176,-0.011287015337111817
6.5,4,1.115,0.9088718805712245,0.09112811942877552,4.6144915603270326e-07
6.5,5,,0.3951681145406126,0.6048318854593874,-0.05587038044419358
6.5,6,1.032,0.9211161300907892,0.07888386990921081,7.316884437805978e-09
6.5,7,0.541,0.972785722873897,0.027214277126103026,0.001842730450206827
6.5,8,0.799,0.9668011775687094,0.033198822431290576,3.0300732861174764e-13
6.5,9,0.881,0.7874906322916658,0.21250936770833417,0.006501968665759502
7.0,0,0.502,0.947589001808317,0.052410998191683045,2.4568222774806297e-13
7.0,1,0.297,0.9972041469529563,0.0027958530470436616,1.5039075936980183e-15
7.0,2,1.102,0.9487907403089526,0.05120925969104739,-1.5216837909908213e-10
7.0,3,0.5,0.9867961500988661,0.01320384990113388,-2.72494608322002e-15
7.0,4,0.687,0.9842087517461133,0.01579124825388667,-5.685366446380906e-15
7.0,5,0.164,0.8349275832736122,0.16507241672638784,-0.0783378839665411
7.0,6,1.262,0.9544292921512153,0.0455707078487847,6.106314697317399e-12
7.0,7,0.5710000000000001,0.9916926042380116,0.008307395761988356,-1.058250948222854e-15
7.0,8,0.931,0.9439180351078053,0.05608196489219475,5.32660286898597e-09
7.0,9,0.72,0.7898763988470274,0.21012360115297257,-0.01156198369172142
7.5,0,0.862,0.9743982641955223,0.025601735804477666,9.538491507325584e-14
7.5,1,0.443,0.9779309598535527,0.022069040146447283,-0.004599182712742389
7.5,2,0.279,0.8395705978758203,0.16042940212417967,0.024854054577468997
7.5,3,0.211,0.9964219205656077,0.003578079434392256,-1.6833764490386977e-15
7.5,4,0.81,0.9445822806603357,0.05541771933966433,1.1328694040611156e-12
7.5,5,0.483,0.9046747633990428,0.09532523660095715,-0.0060569243272877715
7.5,6,0.58,0.9910755972113606,0.008924402788639374,1.6441859145706482e-15
7.5,7,0.399,0.9112543088367991,0.08874569116320086,-0.016487849829082846
7.5,8,0.498,0.9861784890446896,0.013821510955310368,1.685671902373024e-16
7.5,9,0.399,0.9879241035365547,0.012075896463445313,-2.3308504294426877e-16
8.0,0,0.396,0.9648781418394559,0.03512185816054414,-4.030454637039e-15
8.0,1,0.417,0.9798879650343979,0.0201120349656021,1.0736349048773556e-16
8.0,2,0.66,0.9635335217930321,0.03646647820696791,4.933141660174763e-14
8.0,3,1.088,0.6039248105847094,0.39607518941529063,-0.0407389295614602
8.0,4,0.225,0.9296541686617805,0.07034583133821948,0.041605629072345086
8.0,5,0.542,0.43801241610306796,0.561987583896932,-0.04711540852437979
8.0,6,1.131,0.9169294121514562,0.08307058784854382,8.109604282762759e-11
8.0,7,0.046,0.9927252005743522,0.007274799425647793,-2.8143970765644753e-16
8.0,8,0.257,0.9373477797454145,0.0626522202545855,-3.431986731214055e-14
8.0,9,0.537,0.9704436283477026,0.02955637165229741,6.647757215331451e-16
8.5,0,1.037,0.9392640701307786,0.06073592986922138,-0.0006273796806715256
8.5,1,9.677,0.8477131596868818,0.15228684031311823,0.06373169758664987
8.5,2,0.593,0.982349208035017,0.01765079196498298,1.0352191662160049e-15
8.5,3,0.516,0.8731918463102125,0.12680815368978748,-0.0023294779156851774
8.5,4,0.774,0.9123983429267862,0.08760165707321377,1.7154071596152425e-13
8.5,5,0.801,0.8301783356646767,0.1698216643353233,0.004674359790937834
8.5,6,0.764,0.7956853918990356,0.20431460810096436,0.0019137106397101682
8.5,7,0.41300000000000003,0.978440231642176,0.021559768357824027,2.868574626375925e-16
8.5,8,2.795,0.7554732263768533,0.24452677362314668,-0.037148835673570246
8.5,9,0.194,0.9829079912051109,0.017092008794889146,-2.014786613083322e-16
9.0,0,0.337,0.8074360505011301,0.1925639494988699,-0.0004285950861336652
9.0,1,0.251,0.9108050694558154,0.08919493054418459,-2.3917705257295335e-08
9.0,2,0.366,0.845303278033056,0.15469672196694395,-0.0068737876469869685
9.0,3,0.487,0.9401586023093568,0.05984139769064323,-7.944532442497647e-11
9.0,4,0.718,0.9875136992599162,0.012486300740083833,9.453162737920792e-16
9.0,5,0.362,0.980517293470083,0.019482706529917015,1.2749656900785701e-16
9.0,6,0.662,0.9101986185612878,0.08980138143871219,0.00017276964353341495
9.0,7,0.421,0.9804179326602744,0.019582067339725562,2.0808495612846024e-16
9.0,8,5.548,0.7284903889670808,0.27150961103291915,0.02268514790091578
9.0,9,0.19,0.9764235968186875,0.02357640318131249,7.048932818165969e-16
9.5,0,0.19,0.9919189633526627,0.00808103664733728,4.7038640935366686e-17
9.5,1,0.167,0.9726700198039654,0.02732998019603461,-7.177570163507801e-16
9.5,2,1.242,0.7649492073133927,0.23505079268660733,-0.02393321918730365
9.5,3,2.119,0.7281879633658533,0.27181203663414666,0.00026561886401945073
9.5,4,,0.8431254822845946,0.1568745177154054,-0.010334995859754918
9.5,5,0.723,0.7676690192011042,0.2323309807988958,-0.07168825900019699
9.5,6,0.363,0.9782376143343393,0.02176238566566069,4.739297037485924e-18
9.5,7,0.359,0.7563146615882888,0.24368533841171125,3.0479494288884234e-05
9.5,8,0.5,0.861419260332316,0.13858073966768403,0.0006470659363237385
9.5,9,1.105,0.9951886158047821,0.0048113841952178715,-3.244518840185908e-16
10.0,0,0.582,0.9571892135837966,0.042810786416203395,-1.487331485656987e-16
10.0,1,0.126,0.8305376810849266,0.16946231891507335,0.040535356647777174
10.0,2,0.324,0.9310394606867293,0.06896053931327073,-9.908670859286679e-10
10.0,3,0.406,0.9861427014324874,0.01385729856751261,5.780916199748932e-17
10.0,4,0.249,0.9128782640395199,0.08712173596048012,0.014040393180881346
10.0,5,0.633,0.9492237922700331,0.05077620772996694,2.006763842920425e-14
10.0,6,0.324,0.9765044579459763,0.02349554205402371,1.111495238937613e-16
10.0,7,0.603,0.7166875892241682,0.2833124107758318,0.007189322626839643
10.0,8,0.791,0.7128103310967197,0.28718966890328035,-0.0003359113616935805
10.0,9,0.159,0.937994083499467,0.062005916500533,-3.4354957878283013e-15
